                                         Vaccination.ALL  Vaccination.DAILY  CovidTest.DAILY_NUMBER_OF_TESTS  CovidTest.DAILY_POSITIVE_TESTS  CovidTest.DAILY_AVERAGE_NUMBER_OF_TESTS  CovidGrow.SUMMED_CASES  CovidGrow.NEW_DAILY_CASES  CovidGrow.SUMMED_DEATHS  CovidGrow.NEW_DAILY_DEATHS  CovidGrow.NEW_DAILY_RECOVERIES  CovidGrow.ACTIVE_CASES_SHIFT
Vaccination.ALL                                 1.000000           0.744467                         0.286621                       -0.012263                                 0.461014                0.964066                   0.022056                 0.981518                    0.147004                        0.237716                     -0.246040
Vaccination.DAILY                               0.744467           1.000000                         0.292138                        0.040458                                 0.288401                0.708461                   0.130023                 0.734053                    0.486414                        0.092770                      0.036152
CovidTest.DAILY_NUMBER_OF_TESTS                 0.286621           0.292138                         1.000000                        0.831805                                 0.732282                0.413538                   0.661046                 0.352625                    0.589539                        0.487303                      0.221002
CovidTest.DAILY_POSITIVE_TESTS                 -0.012263           0.040458                         0.831805                        1.000000                                 0.662671                0.129693                   0.888616                 0.067718                    0.516396                        0.534311                      0.441277
CovidTest.DAILY_AVERAGE_NUMBER_OF_TESTS         0.461014           0.288401                         0.732282                        0.662671                                 1.000000                0.632137                   0.701998                 0.553314                    0.370288                        0.786508                     -0.061192
CovidGrow.SUMMED_CASES                          0.964066           0.708461                         0.413538                        0.129693                                 0.632137                1.000000                   0.170482                 0.986175                    0.253525                        0.428409                     -0.287313
CovidGrow.NEW_DAILY_CASES                       0.022056           0.130023                         0.661046                        0.888616                                 0.701998                0.170482                   1.000000                 0.105471                    0.513695                        0.622597                      0.474522
CovidGrow.SUMMED_DEATHS                         0.981518           0.734053                         0.352625                        0.067718                                 0.553314                0.986175                   0.105471                 1.000000                    0.197949                        0.322010                     -0.243183
CovidGrow.NEW_DAILY_DEATHS                      0.147004           0.486414                         0.589539                        0.516396                                 0.370288                0.253525                   0.513695                 0.197949                    1.000000                        0.253335                      0.297294
CovidGrow.NEW_DAILY_RECOVERIES                  0.237716           0.092770                         0.487303                        0.534311                                 0.786508                0.428409                   0.622597                 0.322010                    0.253335                        1.000000                     -0.393117
CovidGrow.ACTIVE_CASES_SHIFT                   -0.246040           0.036152                         0.221002                        0.441277                                -0.061192               -0.287313                   0.474522                -0.243183                    0.297294                       -0.393117                      1.000000
