---CORRELATION MATRIX---

                                                   Vaccination.ALL  Vaccination.DAILY  Vaccination.COMPLETED  Vaccination.COMPLETED_PERCENT  CovidTest.DAILY_NUMBER_OF_TESTS  CovidTest.DAILY_POSITIVE_TESTS  CovidTest.DAILY_AVERAGE_NUMBER_OF_TESTS  CovidTest.DAILY_AVERAGE_PERCENT_OF_POSITIVE_TESTS  CovidGrow.SUMMED_CASES  CovidGrow.NEW_DAILY_CASES  CovidGrow.SUMMED_DEATHS  CovidGrow.NEW_DAILY_DEATHS  CovidGrow.NEW_DAILY_RECOVERIES  CovidGrow.INACTIVE_CASES_SHIFT  CovidGrow.ACTIVE_CASES_SHIFT  CovidGrow.TEMPORARY_INACTIVE_CASES_NUMBER  CovidGrow.TEMPORARY_ACTIVE_CASES_NUMBER  CovidGrow.SUMMED_RECOVERIES
Vaccination.ALL                                           1.000000           0.494280               0.995677                       0.995668                         0.645479                        0.799182                                 0.790422                                           0.754024                0.976977                   0.792641                 0.984952                    0.166474                        0.664971                        0.666693                      0.505405                                   0.983557                                 0.850084                     0.982931
Vaccination.DAILY                                         0.494280           1.000000               0.478314                       0.478290                         0.479418                        0.512560                                 0.335490                                           0.246954                0.478028                   0.589811                 0.519038                    0.564530                        0.230115                        0.244581                      0.622695                                   0.488567                                 0.389713                     0.487291
Vaccination.COMPLETED                                     0.995677           0.478314               1.000000                       0.999999                         0.635235                        0.795583                                 0.772695                                           0.779444                0.959256                   0.787763                 0.971116                    0.143638                        0.658783                        0.659906                      0.504927                                   0.963835                                 0.841404                     0.963030
Vaccination.COMPLETED_PERCENT                             0.995668           0.478290               0.999999                       1.000000                         0.635021                        0.795422                                 0.772579                                           0.779331                0.959209                   0.787677                 0.971131                    0.143507                        0.658614                        0.659735                      0.504968                                   0.963809                                 0.841289                     0.963002
CovidTest.DAILY_NUMBER_OF_TESTS                           0.645479           0.479418               0.635235                       0.635021                         1.000000                        0.907166                                 0.781153                                           0.652553                0.703131                   0.739114                 0.597127                    0.565001                        0.552424                        0.565530                      0.526324                                   0.667508                                 0.756401                     0.669395
CovidTest.DAILY_POSITIVE_TESTS                            0.799182           0.512560               0.795583                       0.795422                         0.907166                        1.000000                                 0.840163                                           0.834971                0.841019                   0.898751                 0.736863                    0.541116                        0.678486                        0.690401                      0.637329                                   0.801650                                 0.893130                     0.803276
CovidTest.DAILY_AVERAGE_NUMBER_OF_TESTS                   0.790422           0.335490               0.772695                       0.772579                         0.781153                        0.840163                                 1.000000                                           0.760134                0.874470                   0.842130                 0.733659                    0.312889                        0.837274                        0.842268                      0.405616                                   0.828923                                 0.945176                     0.831521
CovidTest.DAILY_AVERAGE_PERCENT_OF_POSITIVE_TESTS         0.754024           0.246954               0.779444                       0.779331                         0.652553                        0.834971                                 0.760134                                           1.000000                0.768672                   0.828831                 0.636940                    0.198114                        0.778479                        0.780583                      0.446652                                   0.708812                                 0.901847                     0.710723
CovidGrow.SUMMED_CASES                                    0.976977           0.478028               0.959256                       0.959209                         0.703131                        0.841019                                 0.874470                                           0.768672                1.000000                   0.837224                 0.959611                    0.229602                        0.742431                        0.745551                      0.493277                                   0.993756                                 0.916618                     0.994275
CovidGrow.NEW_DAILY_CASES                                 0.792641           0.589811               0.787763                       0.787677                         0.739114                        0.898751                                 0.842130                                           0.828831                0.837224                   1.000000                 0.728347                    0.515755                        0.721214                        0.732253                      0.744354                                   0.789507                                 0.919645                     0.791022
CovidGrow.SUMMED_DEATHS                                   0.984952           0.519038               0.971116                       0.971131                         0.597127                        0.736863                                 0.733659                                           0.636940                0.959611                   0.728347                 1.000000                    0.156153                        0.583319                        0.585107                      0.491383                                   0.982342                                 0.776687                     0.981190
CovidGrow.NEW_DAILY_DEATHS                                0.166474           0.564530               0.143638                       0.143507                         0.565001                        0.541116                                 0.312889                                           0.198114                0.229602                   0.515755                 0.156153                    1.000000                        0.142301                        0.169057                      0.588452                                   0.201046                                 0.307633                     0.202382
CovidGrow.NEW_DAILY_RECOVERIES                            0.664971           0.230115               0.658783                       0.658614                         0.552424                        0.678486                                 0.837274                                           0.778479                0.742431                   0.721214                 0.583319                    0.142301                        1.000000                        0.999633                      0.074488                                   0.686365                                 0.864793                     0.689299
CovidGrow.INACTIVE_CASES_SHIFT                            0.666693           0.244581               0.659906                       0.659735                         0.565530                        0.690401                                 0.842268                                           0.780583                0.745551                   0.732253                 0.585107                    0.169057                        0.999633                        1.000000                      0.090272                                   0.688942                                 0.869526                     0.691900
CovidGrow.ACTIVE_CASES_SHIFT                              0.505405           0.622695               0.504927                       0.504968                         0.526324                        0.637329                                 0.405616                                           0.446652                0.493277                   0.744354                 0.491383                    0.588452                        0.074488                        0.090272                      1.000000                                   0.479005                                 0.492244                     0.478321
CovidGrow.TEMPORARY_INACTIVE_CASES_NUMBER                 0.983557           0.488567               0.963835                       0.963809                         0.667508                        0.801650                                 0.828923                                           0.708812                0.993756                   0.789507                 0.982342                    0.201046                        0.686365                        0.688942                      0.479005                                   1.000000                                 0.866289                     0.999982
CovidGrow.TEMPORARY_ACTIVE_CASES_NUMBER                   0.850084           0.389713               0.841404                       0.841289                         0.756401                        0.893130                                 0.945176                                           0.901847                0.916618                   0.919645                 0.776687                    0.307633                        0.864793                        0.869526                      0.492244                                   0.866289                                 1.000000                     0.868682
CovidGrow.SUMMED_RECOVERIES                               0.982931           0.487291               0.963030                       0.963002                         0.669395                        0.803276                                 0.831521                                           0.710723                0.994275                   0.791022                 0.981190                    0.202382                        0.689299                        0.691900                      0.478321                                   0.999982                                 0.868682                     1.000000

---AUTOCORRELATION DATA---

