data,suma wykonanych szczpień,dzienna liczba szczpień,całkowicie zaszczepieni,%
17.02.2021,2 230 117,70 971,691 379,"2,18%"
16.02.2021,2 159 146,36 901,658 234,"2,07%"
15.02.2021,2 122 245,15 156,645 970,"2,03%"
14.02.2021,2 107 089,36 080,640 649,"2,02%"
13.02.2021,2 071 009,77 270,624 906,"1,97%"
12.02.2021,1 993 739,109 626,580 606,"1,83%"
11.02.2021,1 884 113,110 398,523 920,"1,65%"
10.02.2021,1 773 715,85 250,482 145,"1,52%"
9.02.2021,1 688 465,31 757,462 335,"1,46%"
17.05.2021,15 879 467,103 437,4 577 701,"14,42%"
8.02.2021,1 656 708,15 550,450 495,"1,42%"
16.05.2021,15 776 030,267 017,4 535 597,"14,29%"
7.02.2021,1 641 158,23 394,440 364,"1,39%"
15.05.2021,15 509 013,364 242,4 415 044,"13,91%"
6.02.2021,1 617 764,51 160,424 729,"1,34%"
14.05.2021,15 144 771,439 259,4 241 956,"13,36%"
5.02.2021,1 566 604,105 026,395 374,"1,25%"
13.05.2021,14 705 512,431 221,4 030 995,"12,70%"
12.05.2021,14 274 291,316 664,3 839 390,"12,09%"
11.05.2021,13 957 627,193 389,3 728 697,"11,75%"
4.02.2021,1 461 578,119 143,344 431,"1,08%"
10.05.2021,13 764 238,93 697,3 671 671,"11,57%"
9.05.2021,13 670 541,261 078,3 650 119,"11,50%"
8.05.2021,13 409 463,375 115,3 579 910,"11,28%"
7.05.2021,13 034 348,419 521,3 451 651,"10,87%"
3.02.2021,1 342 435,110 719,289 189,"0,91%"
6.05.2021,12 614 827,388 966,3 308 889,"10,42%"
5.05.2021,12 225 861,230 075,3 184 152,"10,03%"
4.05.2021,11 995 786,50 827,2 977 374,"9,38%"
3.05.2021,11 944 959,67 899,2 971 205,"9,36%"
2.05.2021,11 877 060,125 836,2 959 722,"9,32%"
2.02.2021,1 231 716,54 812,233 128,"0,73%"
1.05.2021,11 751 224,280 424,2 942 058,"9,27%"
30.04.2021,11 470 800,389 431,2 965 563,"9,34%"
1.02.2021,1 176 904,19 973,200 536,"0,63%"
29.04.2021,11 081 369,341 200,2 852 329,"8,99%"
31.01.2021,1 156 931,15 850,198 477,"0,63%"
30.01.2021,1 141 081,44 045,195 480,"0,62%"
28.04.2021,10 740 169,253 038,2 746 824,"8,65%"
27.04.2021,10 487 131,143 164,2 608 787,"8,22%"
29.01.2021,1 097 036,88 783,179 127,"0,56%"
26.04.2021,10 343 967,56 422,2 578 244,"8,12%"
24.04.2021,10 069 710,262 744,2 543 112,"8,01%"
25.04.2021,10 287 545,217 835,2 644 263,"8,33%"
23.04.2021,9 806 966,311 649,2 495 838,"7,86%"
