Data,Dobowa liczba wykonanych testów,Dobowa liczba osób z wynikiem pozywnym,7-dniowa średnia dobowej liczby wykonanych testów,7-dniowa średnia dobowego % wyników pozytywnych  (w dobowej liczbie testów)
2020-03-02,n/a,0,138,"1,40%"
2020-03-03,25,1,,
2020-03-04,92,0,,
2020-03-05,179,0,,
2020-03-06,0,0,,
2020-03-07,299,7,,
2020-03-08,230,8,,
2020-03-09,246,1,153,"1,46%"
2020-03-10,394,8,206,"1,18%"
2020-03-11,210,22,223,"2,68%"
2020-03-12,655,11,291,"2,92%"
2020-03-13,1525,35,508,"3,24%"
2020-03-14,1079,18,620,"3,15%"
2020-03-15,0,0,587,"2,65%"
2020-03-16,2406,94,896,"3,15%"
2020-03-17,1616,41,1 070,"3,22%"
2020-03-18,1681,59,1 280,"2,23%"
2020-03-19,1876,73,1 455,"2,54%"
2020-03-20,2012,74,1 524,"2,74%"
2020-03-21,2523,111,1 731,"3,13%"
2020-03-22,2520,86,2 091,"3,62%"
2020-03-23,2771,125,2 143,"3,71%"
2020-03-24,3346,183,2 390,"4,12%"
2020-03-25,3320,128,2 624,"4,17%"
2020-03-26,4503,159,2 999,"4,12%"
2020-03-27,4607,192,3 370,"4,19%"
2020-03-28,4109,281,3 597,"4,54%"
2020-03-29,3824,188,3 783,"4,76%"
2020-03-30,4812,227,4 074,"4,79%"
2020-03-31,4382,215,4 222,"4,70%"
2020-04-01,5377,286,4 516,"4,91%"
2020-04-02,5760,516,4 696,"5,69%"
2020-04-03,5963,354,4 890,"5,94%"
2020-04-04,7856,331,5 425,"5,57%"
2020-04-05,4710,367,5 551,"5,98%"
2020-04-06,6748,331,5 828,"6,00%"
2020-04-07,7069,468,6 212,"6,25%"
2020-04-08,8313,341,6 631,"6,08%"
2020-04-09,10698,401,7 337,"5,33%"
2020-04-10,11265,346,8 094,"4,92%"
2020-04-11,8447,586,8 179,"5,31%"
2020-04-12,5623,258,8 309,"4,85%"
2020-04-13,4691,117,8 015,"4,51%"
2020-04-14,8172,359,8 173,"4,19%"
2020-04-15,12578,363,8 782,"4,02%"
2020-04-16,10583,443,8 766,"4,08%"
2020-04-17,13306,349,9 057,"4,02%"
2020-04-18,11286,520,9 463,"3,68%"
2020-04-19,9990,370,10 087,"3,56%"
2020-04-20,10119,284,10 862,"3,60%"
2020-04-21,14444,297,11 758,"3,27%"
2020-04-22,11920,312,11 664,"3,23%"
2020-04-23,14482,413,12 221,"3,04%"
2020-04-24,13793,308,12 291,"2,98%"
2020-04-25,11639,328,12 341,"2,73%"
2020-04-26,7226,366,11 946,"2,92%"
2020-04-27,12885,328,12 341,"2,88%"
2020-04-28,13783,326,12 247,"2,93%"
