Data,Nowe przypadki,Nowe zgony,Nowe wyzdrowienia,Zmiana liczby nieaktywnych przypadków,Zmiana liczby aktywnych przypadków,Suma potwierdzonych przypadków,Suma zgonów,Suma wyzdrowień,Liczba nieaktywnych przypadków,Liczba aktywnych przypadków
2020-03-02,+ 0,0,0,0,+ 0,0,0,0,0,0
2020-03-03,+ 0,0,0,0,+ 0,0,0,0,0,0
2020-03-04,+ 1,0,0,0,+ 1,1,0,0,0,1
2020-03-05,+ 0,0,0,0,+ 0,1,0,0,0,1
2020-03-06,+ 4,0,0,0,+ 4,5,0,0,0,5
2020-03-07,+ 1,0,0,0,+ 1,6,0,0,0,6
2020-03-08,+ 5,0,0,0,+ 5,11,0,0,0,11
2020-03-09,+ 6,0,0,0,+ 6,17,0,0,0,17
2020-03-10,+ 5,0,0,0,+ 5,22,0,0,0,22
2020-03-11,+ 9,0,0,0,+ 9,31,0,0,0,31
2020-03-12,+ 20,+ 1,0,+ 1,+ 19,51,1,0,1,50
2020-03-13,+ 17,+ 1,0,+ 1,+ 16,68,2,0,2,66
2020-03-14,+ 36,+ 1,0,+ 1,+ 35,104,3,0,3,101
2020-03-15,+ 21,0,0,0,+ 21,125,3,0,3,122
2020-03-16,+ 52,+ 1,0,+ 1,+ 51,177,4,0,4,173
2020-03-17,+ 61,+ 1,+ 1,+ 2,+ 59,238,5,1,6,232
2020-03-18,+ 49,0,0,0,+ 49,287,5,1,6,281
2020-03-19,+ 68,0,0,0,+ 68,355,5,1,6,349
2020-03-20,+ 70,0,0,0,+ 70,425,5,1,6,419
2020-03-21,+ 111,0,0,0,+ 111,536,5,1,6,530
2020-03-22,+ 98,+ 2,0,+ 2,+ 96,634,7,1,8,626
2020-03-23,+ 115,+ 1,0,+ 1,+ 114,749,8,1,9,740
2020-03-24,+ 152,+ 2,0,+ 2,+ 150,901,10,1,11,890
2020-03-25,+ 150,+ 3,0,+ 3,+ 147,1051,13,1,14,1037
2020-03-26,+ 170,+ 3,0,+ 3,+ 167,1221,16,1,17,1204
2020-03-27,+ 168,0,0,0,+ 168,1389,16,1,17,1372
2020-03-28,+ 249,+ 2,0,+ 2,+ 247,1638,18,1,19,1619
2020-03-29,+ 224,+ 4,0,+ 4,+ 220,1862,22,1,23,1839
2020-03-30,+ 193,+ 9,0,+ 9,+ 184,2055,31,1,32,2023
2020-03-31,+ 256,+ 2,0,+ 2,+ 254,2311,33,1,34,2277
2020-04-01,+ 243,+ 10,0,+ 10,+ 233,2554,43,1,44,2510
2020-04-02,+ 392,+ 14,0,+ 14,+ 378,2946,57,1,58,2888
2020-04-03,+ 437,+ 14,0,+ 14,+ 423,3383,71,1,72,3311
2020-04-04,+ 244,+ 8,+ 115,+ 123,+ 121,3627,79,116,195,3432
2020-04-05,+ 475,+ 15,+ 18,+ 33,+ 442,4102,94,134,228,3874
2020-04-06,+ 311,+ 13,+ 28,+ 41,+ 270,4413,107,162,269,4144
2020-04-07,+ 435,+ 22,+ 29,+ 51,+ 384,4848,129,191,320,4528
2020-04-08,+ 357,+ 29,+ 31,+ 60,+ 297,5205,158,222,380,4825
2020-04-09,+ 370,+ 16,+ 62,+ 78,+ 292,5575,174,284,458,5117
2020-04-10,+ 380,+ 7,+ 34,+ 41,+ 339,5955,181,318,499,5456
2020-04-11,+ 401,+ 27,+ 57,+ 84,+ 317,6356,208,375,583,5773
2020-04-12,+ 318,+ 24,+ 64,+ 88,+ 230,6674,232,439,671,6003
2020-04-13,+ 258,+ 13,+ 48,+ 61,+ 197,6932,245,487,732,6200
2020-04-14,+ 270,+ 18,+ 131,+ 149,+ 121,7202,263,618,881,6321
2020-04-15,+ 380,+ 23,+ 50,+ 73,+ 307,7582,286,668,954,6628
2020-04-16,+ 336,+ 28,+ 106,+ 134,+ 202,7918,314,774,1088,6830
2020-04-17,+ 457,+ 18,+ 92,+ 110,+ 347,8375,332,866,1198,7177
2020-04-18,+ 334,+ 15,+ 115,+ 130,+ 204,8709,347,981,1328,7381
2020-04-19,+ 515,+ 13,+ 59,+ 72,+ 443,9224,360,1040,1400,7824
2020-04-20,+ 306,+ 20,+ 93,+ 113,+ 193,9530,380,1133,1513,8017
2020-04-21,+ 263,+ 20,+ 164,+ 184,+ 79,9793,400,1297,1697,8096
2020-04-22,+ 313,+ 25,+ 216,+ 241,+ 72,10106,425,1513,1938,8168
2020-04-23,+ 342,+ 28,+ 227,+ 255,+ 87,10448,453,1740,2193,8255
2020-04-24,+ 381,+ 40,+ 204,+ 244,+ 137,10829,493,1944,2437,8392
2020-04-25,+ 381,+ 30,+ 182,+ 212,+ 169,11210,523,2126,2649,8561
2020-04-26,+ 344,+ 12,+ 139,+ 151,+ 193,11554,535,2265,2800,8754
2020-04-27,+ 285,+ 26,+ 201,+ 227,+ 58,11839,561,2466,3027,8812
2020-04-28,+ 316,+ 34,+ 189,+ 223,+ 93,12155,595,2655,3250,8905
2020-04-29,+ 422,+ 28,+ 370,+ 398,+ 24,12577,623,3025,3648,8929
2020-04-30,+ 300,+ 20,+ 211,+ 231,+ 69,12877,643,3236,3879,8998
2020-05-01,+ 228,+ 7,+ 255,+ 262,-34,13105,650,3491,4141,8964
2020-05-02,+ 270,+ 12,+ 271,+ 283,-13,13375,662,3762,4424,8951
2020-05-03,+ 318,+ 15,+ 183,+ 198,+ 120,13693,677,3945,4622,9071
2020-05-04,+ 313,+ 19,+ 150,+ 169,+ 144,14006,696,4095,4791,9215
2020-05-05,+ 406,+ 19,+ 185,+ 204,+ 202,14412,715,4280,4995,9417
2020-05-06,+ 311,+ 18,+ 375,+ 393,-82,14723,733,4655,5388,9335
2020-05-07,+ 303,+ 22,+ 207,+ 229,+ 74,15026,755,4862,5617,9409
2020-05-08,+ 337,+ 20,+ 322,+ 342,-5,15363,775,5184,5959,9404
2020-05-09,+ 288,+ 9,+ 253,+ 262,+ 26,15651,784,5437,6221,9430
2020-05-10,+ 345,+ 15,+ 261,+ 276,+ 69,15996,799,5698,6497,9499
2020-05-11,+ 330,+ 11,+ 118,+ 129,+ 201,16326,810,5816,6626,9700
2020-05-12,+ 556,+ 28,+ 315,+ 343,+ 213,16882,838,6131,6969,9913
2020-05-13,+ 322,+ 23,+ 279,+ 302,+ 20,17204,861,6410,7271,9933
2020-05-14,+ 411,+ 22,+ 286,+ 308,+ 103,17615,883,6696,7579,10036
2020-05-15,+ 401,+ 24,+ 222,+ 246,+ 155,18016,907,6918,7825,10191
2020-05-16,+ 241,+ 8,+ 257,+ 265,-24,18257,915,7175,8090,10167
2020-05-17,+ 272,+ 10,+ 276,+ 286,-14,18529,925,7451,8376,10153
2020-05-18,+ 356,+ 11,+ 177,+ 188,+ 168,18885,936,7628,8564,10321
2020-05-19,+ 382,+ 12,+ 275,+ 287,+ 95,19267,948,7903,8851,10416
2020-05-20,+ 471,+ 14,+ 280,+ 294,+ 177,19738,962,8183,9145,10593
2020-05-21,+ 403,+ 10,+ 269,+ 279,+ 124,20141,972,8452,9424,10717
2020-05-22,+ 471,+ 10,+ 279,+ 289,+ 182,20612,982,8731,9713,10899
2020-05-23,+ 315,+ 11,+ 246,+ 257,+ 58,20927,993,8977,9970,10957
2020-05-24,+ 361,+ 3,+ 217,+ 220,+ 141,21288,996,9194,10190,11098
2020-05-25,+ 341,+ 11,+ 82,+ 93,+ 248,21629,1007,9276,10283,11346
2020-05-26,+ 443,+ 17,+ 744,+ 761,-318,22072,1024,10020,11044,11028
2020-05-27,+ 397,+ 4,+ 310,+ 314,+ 83,22469,1028,10330,11358,11111
2020-05-28,+ 352,+ 10,+ 230,+ 240,+ 112,22821,1038,10560,11598,11223
2020-05-29,+ 332,+ 13,+ 132,+ 145,+ 187,23153,1051,10692,11743,11410
2020-05-30,+ 412,+ 10,+ 324,+ 334,+ 78,23565,1061,11016,12077,11488
2020-05-31,+ 219,+ 3,+ 255,+ 258,-39,23784,1064,11271,12335,11449
2020-06-01,+ 375,+ 10,+ 178,+ 188,+ 187,24159,1074,11449,12523,11636
2020-06-02,+ 236,+ 18,+ 277,+ 295,-59,24395,1092,11726,12818,11577
2020-06-03,+ 292,+ 23,+ 288,+ 311,-19,24687,1115,12014,13129,11558
2020-06-04,+ 361,+ 2,+ 213,+ 215,+ 146,25048,1117,12227,13344,11704
2020-06-05,+ 362,+ 20,+ 183,+ 203,+ 159,25410,1137,12410,13547,11863
2020-06-06,+ 576,+ 14,+ 231,+ 245,+ 331,25986,1151,12641,13792,12194
2020-06-07,+ 575,+ 4,+ 214,+ 218,+ 357,26561,1155,12855,14010,12551
2020-06-08,+ 599,+ 9,+ 143,+ 152,+ 447,27160,1164,12998,14162,12998
2020-06-09,+ 400,+ 19,+ 198,+ 217,+ 183,27560,1183,13196,14379,13181
2020-06-10,+ 282,+ 23,+ 215,+ 238,+ 44,27842,1206,13411,14617,13225
2020-06-11,+ 359,+ 9,+ 285,+ 294,+ 65,28201,1215,13696,14911,13290
2020-06-12,+ 376,+ 7,+ 109,+ 116,+ 260,28577,1222,13805,15027,13550
2020-06-13,+ 440,+ 15,+ 299,+ 314,+ 126,29017,1237,14104,15341,13676
